,Age,Years Worked,Commercial,Shareholder,Has App,Owns Car,Owns House,Wages Paid,Last Payment,Investment Risk,Total Asset Code,Potential Asset Code,Financial Producs,Fund Purchases,Insurance Purchases,Gold Purchases,Has Loan,Total Loans,Overdue Loans,Overdue Days,Has Credit Cards,Credit Use,Debit Cards,Credit Cards,Debit ,Credit,Debit Card Level,F,M,Bachelors,Doctorate,Masters,Post-secondary,Upper Secondary,Divorced,Married,Never Married,Separated,Widowed,Flag
18,25,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,822,0,0,1,0,1,0,0,0,0,1,0,0,0,1
19,24,2,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,2,-1,1025,0,0,1,0,1,0,0,0,0,1,0,0,0,0
20,32,2,0,0,1,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,1790,0,0,1,0,1,0,0,0,0,1,0,0,0,0
21,29,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,731,0,0,1,0,1,0,0,0,0,1,0,0,0,1
22,26,2,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,1,-1,1314,0,0,1,0,1,0,0,0,0,1,0,0,0,1
23,49,0,0,1,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,2,-1,844,0,0,1,0,1,0,0,0,0,1,0,0,0,0
24,32,0,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0,0,1,3,0,2,-1,2365,0,0,1,0,1,0,0,0,0,1,0,0,0,0
25,30,1,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,2,0,2,-1,173,0,0,1,0,1,0,0,0,0,1,0,0,0,0
26,27,2,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,717,0,0,1,0,1,0,0,0,0,1,0,0,0,0
27,32,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,669,0,0,1,0,1,0,0,0,0,1,0,0,0,0
28,25,2,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,1,-1,1089,0,0,1,0,1,0,0,0,0,1,0,0,0,0
29,24,1,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,2,-1,246,0,0,1,0,1,0,0,0,0,1,0,0,0,0
30,46,2,0,0,1,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,1,-1,621,0,0,1,0,1,0,0,0,0,1,0,0,0,1
31,33,2,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,-1,2075,0,0,1,0,1,0,0,0,0,1,0,0,0,1
32,31,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,2,0,1,-1,3044,0,0,1,0,1,0,0,0,0,1,0,0,0,0
33,56,8,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,-1,3743,0,0,1,0,1,0,0,0,0,1,0,0,0,0
34,32,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,2,-1,412,0,0,1,0,1,0,0,0,0,1,0,0,0,1
35,38,3,0,0,1,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,921,0,0,1,0,1,0,0,0,0,1,0,0,0,0
36,35,2,0,1,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,1,-1,2510,0,0,1,0,1,0,0,0,0,1,0,0,0,0
37,26,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,2,0,2,-1,553,0,0,1,0,1,0,0,0,0,1,0,0,0,0
38,33,5,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
39,30,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,2,-1,429,0,0,1,0,1,0,0,0,0,1,0,0,0,1
40,46,2,0,1,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,2,-1,1566,0,0,1,0,1,0,0,0,0,1,0,0,0,0
41,28,6,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,1,-1,1263,0,0,1,0,1,0,0,0,0,1,0,0,0,0
42,28,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,201,0,0,1,0,1,0,0,0,0,1,0,0,0,0
43,23,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,350,0,0,1,0,1,0,0,0,0,1,0,0,0,0
44,34,2,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,55,0,0,1,0,1,0,0,0,0,1,0,0,0,0
45,30,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,-1,1049,0,0,1,0,1,0,0,0,0,1,0,0,0,1
46,41,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,2,-1,1175,0,0,1,0,1,0,0,0,0,1,0,0,0,0
47,21,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,468,0,0,1,0,1,0,0,0,0,1,0,0,0,0
48,22,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,720,0,0,1,0,1,0,0,0,0,1,0,0,0,0
49,32,2,0,0,1,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,2089,0,0,1,0,1,0,0,0,0,1,0,0,0,0
50,42,1,0,1,1,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,3,0,1,-1,816,0,0,1,0,1,0,0,0,0,1,0,0,0,0
51,30,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,3,0,1,-1,1622,0,0,1,0,1,0,0,0,0,1,0,0,0,1
52,28,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1280,0,0,1,0,1,0,0,0,0,1,0,0,0,0
53,30,1,0,0,0,0,0,0,-1,0,3,-1,0,0,0,0,0,0,0,0,1,1,0,1,-1,2009,0,0,1,0,1,0,0,0,0,1,0,0,0,0
54,29,2,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,1,-1,1111,0,0,1,0,1,0,0,0,0,1,0,0,0,0
55,26,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,560,0,0,1,0,1,0,0,0,0,1,0,0,0,0
56,31,0,0,1,1,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,1,-1,3955,0,0,1,0,1,0,0,0,0,1,0,0,0,0
57,42,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,2,-1,1741,0,0,1,0,1,0,0,0,0,1,0,0,0,1
58,32,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,-1,836,0,0,1,0,1,0,0,0,0,1,0,0,0,0
59,55,20,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,-1,266,0,0,1,0,1,0,0,0,0,1,0,0,0,0
60,36,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,-1,319,0,0,1,0,1,0,0,0,0,1,0,0,0,0
61,37,10,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,1,-1,205,0,0,1,0,1,0,0,0,0,1,0,0,0,0
62,27,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,649,0,0,1,0,1,0,0,0,0,1,0,0,0,0
63,34,2,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,2,0,1,-1,236,0,0,1,0,1,0,0,0,0,1,0,0,0,0
64,36,3,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,1,-1,3621,0,0,1,0,1,0,0,0,0,1,0,0,0,0
65,31,0,0,0,1,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,4,-1,588,0,0,1,0,1,0,0,0,0,1,0,0,0,1
66,41,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,4,-1,1985,0,0,1,0,1,0,0,0,0,1,0,0,0,0
67,29,0,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,5,-1,740,0,0,1,0,1,0,0,0,0,1,0,0,0,0
68,25,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,419,0,0,1,0,1,0,0,0,0,1,0,0,0,0
69,37,10,0,0,1,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,1,-1,470,0,0,1,0,1,0,0,0,0,1,0,0,0,0
70,24,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,2,0,1,-1,530,0,0,1,0,1,0,0,0,0,1,0,0,0,1
71,52,10,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,139,0,0,1,0,1,0,0,0,0,1,0,0,0,0
72,35,1,0,0,1,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,2,-1,3013,0,0,1,0,1,0,0,0,0,1,0,0,0,0
73,34,11,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,2,-1,3256,0,0,1,0,1,0,0,0,0,1,0,0,0,0
74,25,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,1379,0,0,1,0,1,0,0,0,0,1,0,0,0,0
75,53,2,0,1,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,2,-1,1546,0,0,1,0,1,0,0,0,0,1,0,0,0,0
76,22,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,-1,205,0,0,1,0,1,0,0,0,0,1,0,0,0,0
77,31,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,3,-1,556,0,0,1,0,1,0,0,0,0,1,0,0,0,0
78,38,8,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,1,-1,1664,0,0,1,0,1,0,0,0,0,1,0,0,0,1
79,36,9,0,0,1,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,1,-1,1130,0,0,1,0,1,0,0,0,0,1,0,0,0,0
80,34,5,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,2,0,2,-1,2156,0,0,1,0,1,0,0,0,0,1,0,0,0,1
81,28,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,2,-1,1676,0,0,1,0,1,0,0,0,0,1,0,0,0,0
82,30,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,2,0,1,-1,788,0,0,1,0,1,0,0,0,0,1,0,0,0,0
83,24,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,1,-1,641,0,0,1,0,1,0,0,0,0,1,0,0,0,1
84,24,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,3,-1,556,0,0,1,0,1,0,0,0,0,1,0,0,0,0
85,31,4,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,2,0,3,-1,341,0,0,1,0,1,0,0,0,0,1,0,0,0,0
86,49,24,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,1,-1,614,0,0,1,0,1,0,0,0,0,1,0,0,0,0
87,22,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,-1,82,0,0,1,0,1,0,0,0,0,1,0,0,0,0
88,30,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,2,0,1,-1,691,0,0,1,0,1,0,0,0,0,1,0,0,0,0
89,25,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1608,0,0,1,0,1,0,0,0,0,1,0,0,0,1
90,58,16,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,150,0,0,1,0,1,0,0,0,0,1,0,0,0,0
91,21,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,0,0,1,-1,163,0,0,1,0,1,0,0,0,0,1,0,0,0,0
92,26,1,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,2,-1,710,0,0,1,0,1,0,0,0,0,1,0,0,0,0
93,31,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,-1,2853,0,0,1,0,1,0,0,0,0,1,0,0,0,0
94,34,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1314,0,0,1,0,1,0,0,0,0,1,0,0,0,0
95,28,4,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,1,-1,1467,0,0,1,0,1,0,0,0,0,1,0,0,0,0
96,27,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
97,35,18,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,321,0,0,1,0,1,0,0,0,0,1,0,0,0,0
98,41,14,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,959,0,0,1,0,1,0,0,0,0,1,0,0,0,0
99,24,17,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,1,-1,554,0,0,1,0,1,0,0,0,0,1,0,0,0,0
100,22,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,2,-1,752,0,0,1,0,1,0,0,0,0,1,0,0,0,1
101,40,1,0,1,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,1655,0,0,1,0,1,0,0,0,0,1,0,0,0,0
102,24,0,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,4,-1,153,0,0,1,0,1,0,0,0,0,1,0,0,0,0
103,27,2,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,264,0,0,1,0,1,0,0,0,0,1,0,0,0,0
104,32,4,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,809,0,0,1,0,1,0,0,0,0,1,0,0,0,1
105,39,6,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,565,0,0,1,0,1,0,0,0,0,1,0,0,0,0
106,21,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,3,-1,580,0,0,1,0,1,0,0,0,0,1,0,0,0,0
107,39,9,0,1,0,0,0,0,-1,0,11,-1,0,0,0,0,0,0,0,0,1,4,0,1,-1,937,0,0,1,0,1,0,0,0,0,1,0,0,0,0
108,23,0,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,1020,0,0,1,0,1,0,0,0,0,1,0,0,0,1
109,24,0,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,200,0,0,1,0,1,0,0,0,0,1,0,0,0,0
110,32,0,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,-1,351,0,0,1,0,1,0,0,0,0,1,0,0,0,0
111,32,3,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,567,0,0,1,0,1,0,0,0,0,1,0,0,0,0
112,35,3,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,-1,1847,0,0,1,0,1,0,0,0,0,1,0,0,0,0
113,33,16,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,838,0,0,1,0,1,0,0,0,0,1,0,0,0,1
114,28,0,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,2,0,2,-1,1217,0,0,1,0,1,0,0,0,0,1,0,0,0,0
115,23,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,124,0,0,1,0,1,0,0,0,0,1,0,0,0,0
116,20,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,-1,303,0,0,1,0,1,0,0,0,0,1,0,0,0,0
117,31,1,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,1633,0,0,1,0,1,0,0,0,0,1,0,0,0,0
118,29,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,2,-1,98,0,0,1,0,1,0,0,0,0,1,0,0,0,0
119,49,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,685,0,0,1,0,1,0,0,0,0,1,0,0,0,0
120,28,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,354,0,0,1,0,1,0,0,0,0,1,0,0,0,0
121,26,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,2,-1,712,0,0,1,0,1,0,0,0,0,1,0,0,0,0
122,26,0,0,0,1,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,2,-1,1210,0,0,1,0,1,0,0,0,0,1,0,0,0,0
123,50,19,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,3348,0,0,1,0,1,0,0,0,0,1,0,0,0,0
124,25,1,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,1,-1,1046,0,0,1,0,1,0,0,0,0,1,0,0,0,0
125,38,1,0,1,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,2,-1,4564,0,0,1,0,1,0,0,0,0,1,0,0,0,0
126,22,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,3,-1,586,0,0,1,0,1,0,0,0,0,1,0,0,0,0
127,38,7,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,724,0,0,1,0,1,0,0,0,0,1,0,0,0,0
128,36,8,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,672,0,0,1,0,1,0,0,0,0,1,0,0,0,0
129,38,6,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1558,0,0,1,0,1,0,0,0,0,1,0,0,0,0
130,49,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,-1,621,0,0,1,0,1,0,0,0,0,1,0,0,0,0
131,25,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,2,-1,165,0,0,1,0,1,0,0,0,0,1,0,0,0,0
132,33,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,861,0,0,1,0,1,0,0,0,0,1,0,0,0,0
133,29,5,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,727,0,0,1,0,1,0,0,0,0,1,0,0,0,0
134,24,0,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0,0,1,3,0,2,-1,333,0,0,1,0,1,0,0,0,0,1,0,0,0,1
135,26,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,2,-1,1113,0,0,1,0,1,0,0,0,0,1,0,0,0,0
136,31,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,2,-1,3894,0,0,1,0,1,0,0,0,0,1,0,0,0,0
137,25,0,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0,0,1,3,0,1,-1,92,0,0,1,0,1,0,0,0,0,1,0,0,0,1
138,38,2,0,1,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,1,-1,751,0,0,1,0,1,0,0,0,0,1,0,0,0,1
139,29,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,938,0,0,1,0,1,0,0,0,0,1,0,0,0,0
140,24,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,3,-1,623,0,0,1,0,1,0,0,0,0,1,0,0,0,1
141,38,5,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,3,-1,118,0,0,1,0,1,0,0,0,0,1,0,0,0,1
142,42,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,103,0,0,1,0,1,0,0,0,0,1,0,0,0,0
143,31,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,4,-1,1323,0,0,1,0,1,0,0,0,0,1,0,0,0,0
144,34,11,0,1,1,1,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,1,1,0,1,-1,1160,0,0,1,0,1,0,0,0,0,1,0,0,0,0
145,27,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,665,0,0,1,0,1,0,0,0,0,1,0,0,0,0
146,27,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,2,-1,1126,0,0,1,0,1,0,0,0,0,1,0,0,0,0
147,31,1,0,1,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,1,-1,1693,0,0,1,0,1,0,0,0,0,1,0,0,0,1
148,35,2,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,1,-1,166,0,0,1,0,1,0,0,0,0,1,0,0,0,0
149,33,5,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,2,-1,1229,0,0,1,0,1,0,0,0,0,1,0,0,0,0
150,35,2,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,2,-1,903,0,0,1,0,1,0,0,0,0,1,0,0,0,0
151,33,3,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,477,0,0,1,0,1,0,0,0,0,1,0,0,0,1
152,26,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,2,-1,938,0,0,1,0,1,0,0,0,0,1,0,0,0,0
153,28,1,0,0,0,1,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,1,4,0,2,-1,531,0,0,1,0,1,0,0,0,0,1,0,0,0,0
154,24,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,2,-1,376,0,0,1,0,1,0,0,0,0,1,0,0,0,0
155,30,3,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,160,0,0,1,0,1,0,0,0,0,1,0,0,0,0
